i,j,alpha,beta,loc,scale
0,0,12.375414317473755,57.38586532501584,345.0354294330119,6409.259874465117
0,1,8.21487829910696,30.476922439245634,578.8112988331843,4281.020472614342
0,2,6.4416564975654875,20.29286369773179,619.81607385178,3555.2725725194623
0,3,8.274218999493332,45.4712078931829,577.1696021535305,5890.061411842286
0,4,8.708618321830723,27.058377456299795,521.4800745329695,3930.2089008544963
0,5,14.237648333637676,437.4475901786128,366.6505888648404,34883.37581612935
0,6,12.985159885833685,88054509.45989034,436.1572815230724,7003817238.42068
0,7,7.166232306386238,31.729876415288494,633.7953059513636,4506.7307754958665
0,8,25.130881889291935,24965959.096678227,103.90369065190406,1333651930.5800564
0,9,7.912874406776698,44.57305756753774,577.9672509125985,5625.360691332475
0,10,15.099839289593616,26738865.65046268,363.29415101060476,1920735990.9820654
0,11,7.284476715219919,20.06985977432593,555.9162302713455,3205.4745064196154
0,12,11.449378902269155,579471.016279537,499.5707990198421,45768930.98479083
0,13,10.812546601616079,259677368.09927493,520.4535861017237,21084782711.58258
0,14,7.502766755297269,36.87341897120301,587.3085811551061,4743.01203973368
0,15,12.25248591246065,55.20709355730463,368.0292142609796,5580.984741427775
0,16,6.827232270971605,16.061159304507413,533.328094512985,2946.2818668113887
0,17,16.258009326421856,369.83294063370477,300.80358234577386,26129.802344948635
0,18,13.661748682645605,400935.52318742673,418.76278287254013,29004642.10371506
0,19,6.6812408719774385,23.72465423844594,589.9614380931538,3736.3972049492486
0,20,11.56190436270689,82.60067567841075,401.48633504358577,8250.609088315912
0,21,15.150452870012481,10729876.683942966,323.22033708871345,771412745.6916381
0,22,24.840636074206998,1224231.5311529387,75.93183921364405,66647837.175705716
0,23,14.368357992183416,24254685.321235135,391.51841749045457,1734045861.8206785
0,24,13.705006065467813,104459642.79760414,384.7020335645302,7972730028.871157
0,25,8.639562262244343,24.85087207972797,480.6138268049632,3598.8844606295006
0,26,8.418569626899451,26.62770820850615,523.0033505118046,3793.450010469055
0,27,11.997946703688289,66079401.496106654,457.7686499101248,5283766149.722111
0,28,6.37350344351748,20.785371761750586,632.4452078794636,3375.954757794415
0,29,14.359196219826536,112.78854001206753,325.61786878514096,9428.697758034028
1,0,18.02781615832562,65370701.29031314,308.1395159383976,4417104735.120811
1,1,10.651061039979925,43.3844841659197,437.34787150796706,5358.451012300942
1,2,13.144477104072568,63.192470423373166,386.00905403485945,6458.420057784446
1,3,20.42159208311083,3200107.9553914126,219.5169105477391,198592113.72112092
1,4,12.696256267573666,2461.108188004572,451.59240439226926,203088.7405158572
1,5,13.789951335923014,3597656.6218852364,421.70875607591273,275395383.73923916
1,6,5.908841692851878,16.367427113283888,652.3036425743799,3053.694020456049
1,7,14.384380503335544,53876666.35877577,397.6084620825846,4015300819.225669
1,8,5.759553003210078,26.13125524847171,698.4972256763857,4266.7880418559325
1,9,9.736515797575812,66.93676706964824,521.0532973126678,7322.7006058871675
1,10,6.528002662741487,15.395279148830934,598.2609715808935,2843.339062688084
1,11,15.831618564436521,2180657.6240515476,340.9732618495558,147626948.14771795
1,12,8.38502371341104,44.55774081196928,546.5373728949912,5411.673032674481
1,13,10.155954621044867,35.55839385037227,444.7267797899399,4327.1159196870885
1,14,21.600065678260304,17584600.27441577,145.30397204062814,1022419242.4138145
1,15,6.338043631713736,19.298982959127365,594.2719730497097,3275.2756159000305
1,16,13.680267258473641,102.0461420203139,335.9798717322758,9078.497147765362
1,17,10.07628883911065,35.868453976899765,430.0124626882334,4480.018698058562
1,18,24.364029721950423,1444941.4666045639,126.81613691365663,76862793.41799198
1,19,5.6361636043330225,21.231284052141735,667.6616773841554,3597.810494415784
1,20,14.425557203361993,309.86693422465885,351.0262008620714,24254.04398075898
1,21,12.54802109797912,871.6824826791826,401.4577982750543,71726.34597288311
1,22,8.795227746972724,37.917192370537876,519.3173769016247,4806.33277087563
1,23,11.483896861266782,1745.6531263029024,474.0657820562282,146433.24404244096
1,24,8.914866162875256,63.193548825913346,560.4957313733914,7051.981482734898
1,25,9.584548345916108,33.69621516051435,448.66345028544663,4386.980825756915
1,26,17.37155926845575,1547724.6797573064,305.6700483249755,100682179.48967636
1,27,17.192512461869036,1008262.1874158268,276.6139427542994,66758196.54913277
1,28,15.400204303932163,804561.2393390586,378.936931469011,54870769.21289183
1,29,16.131710343024565,2196.534319582952,320.2425771733713,149260.79802125832
2,0,16.47637389106174,6921590.623502846,342.30289010014457,499340707.67188054
2,1,12.4591991750838,799331.9039915791,497.80738317933657,64583239.56644364
2,2,10.309242462736204,42.231297740152044,511.6713504373864,4950.344569671195
2,3,16.266877738306924,6553897.9915631795,371.66396244584337,453693943.39480567
2,4,6.801869236427752,27.584477783861992,685.8357390106607,4147.83568116715
2,5,7.391512440459383,28.977660524804328,622.7023259770561,4334.809972560954
2,6,10.364127145045536,71.33123370268073,495.3232441239435,7726.942786728846
2,7,19.722033643643922,7220882.985904552,240.50559315107745,456466199.2482922
2,8,8.180922950711203,38.27124958836821,592.557892809029,5017.893395703359
2,9,5.582190361940659,18.908366744314193,689.6890160879734,3387.5342918490605
2,10,8.669789818382743,26.717775370828782,496.59492339995114,3943.974249298879
2,11,20.564901356367436,2927101.100301883,223.8110946858171,169839927.63760352
2,12,13.086616002586439,5462448.012749506,433.1330038940863,411627514.04434574
2,13,29.721704092319662,2999602.909749139,-45.6651328728514,146817154.10353214
